id,title,first_name,last_name,suffix,party,municipality,role
124616,Dhr.,T.H.G.,Boijmans,,GroenLinks,Gemeente Landgraaf,Fractievoorzitter
124409,Dhr.,M.,Eijbaard,,PvdA,Gemeente Baarn,Fractievoorzitter
135178,Mw.,M.G.F.,Rikkers-Oosterkamp,,Weststellingwerfs Belang,Gemeente Weststellingwerf,Fractievoorzitter
134109,Dhr.,D.,van Willegen,,CDA,Gemeente Aalsmeer,Fractievoorzitter
91542,Dhr.,A.,Steenbergen,,CDA,Gemeente Strijen,Fractievoorzitter
122412,Mw.,A.H.K.,van Viegen,,Partij voor de Dieren,Gemeente Pijnacker-Nootdorp,Fractievoorzitter
125969,Dhr.,S.J.H.,L'Espoir,,PAK,Gemeente Brunssum,Fractievoorzitter
126626,Dhr.,N.,Bonenkamp,,VVD,Gemeente Landsmeer,Fractievoorzitter
20252540,Dhr.,R.W.,Boekholt,,VVD,Gemeente Borsele,Fractievoorzitter
133554,Dhr.,H.A.J.,van Roekel,,Hart voor Wageningen,Gemeente Wageningen,Fractievoorzitter
82892,Mw.,E.W.,Scheepers-Dings,,VVD,Gemeente Nederweert,Fractievoorzitter
114844,Dhr.,M.M.,Weezepoel,,D66,Gemeente Schouwen-Duiveland,Fractievoorzitter
127844,Dhr.,H.,Haselager,,PvdA,Gemeente Hilversum,Fractievoorzitter
120241,Mw.,A.,de Vos,,SP,Gemeente Schouwen-Duiveland,Fractievoorzitter
113090,Dhr.,D.P.W.,Joppe,,CDA,Gemeente Schouwen-Duiveland,Fractievoorzitter
132034,Dhr.,F.G.R.,van der Paauw,,SGP,Gemeente Schouwen-Duiveland,Fractievoorzitter
131670,Dhr.,J.T.H.,Hoeijmakers,,alert!,Gemeente Schouwen-Duiveland,Fractievoorzitter
113518,Mw.,P.F.,d'Anjou-Lems,,PvdA,Gemeente Schouwen-Duiveland,Fractievoorzitter
95117,Dhr.,M.,van de Hoef,,GemeenteBelangenWoudenberg,Gemeente Woudenberg,Fractievoorzitter
133774,Dhr.,R.C.,Tuijn,,PvdA,Gemeente Zaanstad,Fractievoorzitter
83055,Mw.,M.K.,Rebel,,Dorpsbelangen Huizen,Gemeente Huizen,Fractievoorzitter
82008,Dhr.,C.M.J.P.,Claessens,,CDA,Gemeente Heerlen,Fractievoorzitter
131928,Dhr.,M.K.,Bor,,Stadspartij Wageningen,Gemeente Wageningen,Fractievoorzitter
22587703,Dhr.,T.M.A.,Jansen,,Fractie Jansen,Gemeente Bergeijk,Fractievoorzitter
83162,Dhr.,W.S.H.M.,Rombouts,,PvdA,Gemeente Bergeijk,Fractievoorzitter
120006,Dhr.,H.,Langenberg,,Lokale Partij Leiderdorp LPL,Gemeente Leiderdorp,Fractievoorzitter
120354,Dhr.,A.,van der Vlies,,ChristenUnie,Gemeente Best,Fractievoorzitter
124264,Dhr.,D.J.,Beumer,,PvdA,Gemeente Epe,Fractievoorzitter
121169,Dhr.,TH.,van Heese,,CDA,Gemeente Haarlemmerliede en Spaarnwoude,Fractievoorzitter
87010,Dhr.,E.J.,Huizing,,VVD,Gemeente Borger-Odoorn,Fractievoorzitter
131446,Dhr.,P.C.,de Jonge,,D66,Gemeente Montfoort,Fractievoorzitter
125949,Dhr.,J.P.,van den Heuvel,,ChristenUnie,Gemeente Montfoort,Fractievoorzitter
135746,Dhr.,C.L.,Jonkers,,Lokaal Montfoort,Gemeente Montfoort,Fractievoorzitter
95576,Mw.,S.,De Vito-van den Bouwhuijsen,,VVD,Gemeente Mook en Middelaar,Fractievoorzitter
124980,Dhr.,F.,de Groot,,Smallingerlands Belang,Gemeente Smallingerland,Fractievoorzitter
135107,Mw.,E.C.,Snethlage-Barnard,,Fractie Snethlage,Gemeente Midden-Delfland,Fractievoorzitter
133496,Dhr. ir.,A.E.M.,de Kleijn,,DS97,Gemeente Landerd,Fractievoorzitter
130264,Dhr.,D.,Heuvelman,,VVD,Gemeente Cromstrijen,Fractievoorzitter
129439,Mw.,M.C.T.M.,Verheijen,,PvdA,Gemeente Someren,Fractievoorzitter
92420,Mw.,A.T.W.,Nagel-Maas,,CDA,Gemeente Someren,Fractievoorzitter
127907,Mw.,M.C.A.,Riemens,,Dorpsbelang,Gemeente Eemnes,Fractievoorzitter
75030,Dhr.,P.M.C.,van der Molen,,PvdA/GroenLinks,Gemeente Heumen,Fractievoorzitter
82483,Dhr.,H.J.J.M.,Smeets,,VVD,Gemeente Heumen,Fractievoorzitter
127675,Dhr.,H.,Dikkers,,Democraten Gemeente Heumen,Gemeente Heumen,Fractievoorzitter
135382,Dhr.,J.M.,Dubelaar,,Progressief Uitgeest,Gemeente Uitgeest,Fractievoorzitter
135502,Mw.,K.,Schenkel-Zandvoort,,ChristenUnie,Gemeente Appingedam,Fractievoorzitter
22324352,Dhr.,R.,van der Woude,,READ,Gemeente Heerenveen,Fractievoorzitter
123868,Dhr.,A.P.,de Man,,VVD,Gemeente Strijen,Fractievoorzitter
124388,Dhr.,J.T.H.,van Rossum,,VVD,Gemeente Hardinxveld-Giessendam,Fractievoorzitter
84125,Dhr.,A.M.J.,de Koning,,CDA,Gemeente Montfoort,Fractievoorzitter
121541,Dhr.,H.J.J.,Rodermond,,D66,Gemeente Hardenberg,Fractievoorzitter
122186,Dhr.,J.,Slomp,,PvdA,Gemeente Coevorden,Fractievoorzitter
115753,Dhr.,G.A.M.,Zeegers,,VVD,Gemeente Coevorden,Fractievoorzitter
122184,Dhr.,G.,Zuur,,CDA,Gemeente Coevorden,Fractievoorzitter
135533,Dhr. ing.,R.L.A.T.,Zincken,,Juist495,Gemeente Weert,Fractievoorzitter
120945,Dhr.,M.P.J.,Appelman,,DSV,Gemeente Opmeer,Fractievoorzitter
124229,Dhr.,E,Nijenbanning,,VVD,Gemeente Stadskanaal,Fractievoorzitter
131574,Dhr.,E.P.,Hofstra,,PvdA,Gemeente Stadskanaal,Fractievoorzitter
126442,Dhr.,E.P.J.,Kort,,D66,Gemeente Hattem,Fractievoorzitter
128455,Dhr.,A.J.,van Rees,,CDA,Gemeente Molenwaard,Fractievoorzitter
115461,Dhr.,G.,Lems,,ChristenUnie,Gemeente Molenwaard,Fractievoorzitter
115466,Mw.,H.G.,van der Have-Schieving,,VVD,Gemeente Molenwaard,Fractievoorzitter
118869,Dhr.,M.J.P.,Paardekooper,,VVD,Gemeente Zoeterwoude,Fractievoorzitter
132681,Mw. mr. drs.,J.H.,Prins,,VVD,Gemeente Huizen,Fractievoorzitter
112033,Dhr.,G.,Willenborg,,CDA,Gemeente Noordenveld,Fractievoorzitter
112037,Dhr.,H.B.T.,Koekkoek,,LGN,Gemeente Noordenveld,Fractievoorzitter
125204,Mw.,E.,van der Haven,,Gemeentebelangen,Gemeente Noordenveld,Fractievoorzitter
125206,Dhr.,A.G.H.,Rossing,,VVD,Gemeente Noordenveld,Fractievoorzitter
82980,Dhr.,J.C.,Wolters,,CDA,Gemeente Brielle,Fractievoorzitter
77838,Dhr.,G.,Zandbergen,,Inwonerspartij Toekomst Houten (ITH),Gemeente Houten,Fractievoorzitter
127407,Dhr.,B.H.G.,Scholtze,,VVD,Gemeente Haaren,Fractievoorzitter
135149,Mw.,M.L.,Sliwinski,,Forza! Nissewaard,Gemeente Nissewaard,Fractievoorzitter
121769,Dhr.,T.W.,van der Knaap,,EVA,Gemeente Albrandswaard,Fractievoorzitter
120601,Dhr.,P.H.J.,Boekhorst,,GroenLinks,Gemeente Nijmegen,Fractievoorzitter
127597,Dhr.,M.,Wilmans,,PvdA,Gemeente Landsmeer,Fractievoorzitter
127630,Dhr.,S.,Bron,,Weststellingwerf Natuurlijk!,Gemeente Weststellingwerf,Fractievoorzitter
112497,Dhr.,L.M.,de Putter,,D66,Gemeente Borsele,Fractievoorzitter
87699,Mw.,K.A.M.,van der Kaaden-van Klink,,CDA,Gemeente Kaag en Braassem,Fractievoorzitter
134523,Dhr.,A.J.M.,van Velzen,,Liberaal Kaag en Braassem,Gemeente Kaag en Braassem,Fractievoorzitter
79893,Dhr.,R.A.A.,Tiemstra,,SGP,Gemeente Waalwijk,Fractievoorzitter
