"Address","Status Code","Status","Naam","gemeente 1","partij-abbr 1","functie 1"
"https://almanak.overheid.nl/133489/Mw_ST_Klein-de_Jong/",200,"OK","Mw. S.T. Klein-de Jong","Gemeente Buren","VVD","Wethouder"
"https://almanak.overheid.nl/79082/Dhr_EPHM_van_Sambeek/",200,"OK","Dhr. E.P.H.M. van Sambeek","Gemeente Lingewaal","CDA","Wethouder"
"https://almanak.overheid.nl/79083/Dhr_G_van_Bezooijen/",200,"OK","Dhr. G. van Bezooijen","Gemeente Lingewaal","ChristenUnie","Wethouder"
"https://almanak.overheid.nl/31945/Dhr_G_Bel/",200,"OK","Dhr. G. Bel","Gemeente Lingewaal","PvdA","Wethouder"
"https://almanak.overheid.nl/135197/Dhr_GJW_Toonen/",200,"OK","Dhr. G.J.W. Toonen","Gemeente Zandvoort","PvdA","Wethouder"
"https://almanak.overheid.nl/125121/Mw_CM_van_de_Pol/",200,"OK","Mw. C.M. van de Pol","Gemeente Koggenland","VVD","Wethouder"
"https://almanak.overheid.nl/124891/Dhr_PJM_van_de_Looij/",200,"OK","Dhr. P.J.M. van de Looij","Gemeente Veldhoven","Gemeente Belangen Veldhoven","Wethouder"
"https://almanak.overheid.nl/127796/Dhr_MMH_Verschuren/",200,"OK","Dhr. M.M.H. Verschuren","Gemeente Winsum","GroenLinks","Wethouder"
"https://almanak.overheid.nl/133866/Mw_L_Sleeuwenhoek-de_Jong/",200,"OK","Mw. L. Sleeuwenhoek-de Jong","Gemeente Krimpenerwaard","VGBK","Wethouder"
"https://almanak.overheid.nl/21803/Dhr_APMA_Schouw/",200,"OK","Dhr. A.P.M.A. Schouw","Gemeente Etten-Leur","APB","Wethouder"
"https://almanak.overheid.nl/135053/Dhr_dr_ir_CM_Verloop/",200,"OK","Dhr. dr. ir. C.M. Verloop","Gemeente Veenendaal","SGP","Wethouder"
"https://almanak.overheid.nl/135050/Mw_MA_Overduin-Biesma/",200,"OK","Mw. M.A. Overduin-Biesma","Gemeente Veenendaal","CDA","Wethouder"
"https://almanak.overheid.nl/125384/Dhr_RL_Dujardin/",200,"OK","Dhr. R.L. Dujardin","Gemeente Etten-Leur","D66","Wethouder"
"https://almanak.overheid.nl/135052/Mw_N_Kundic/",200,"OK","Mw. N. Kundi&ccedil;","Gemeente Veenendaal","D66","Wethouder"
"https://almanak.overheid.nl/63233/Dhr_JP_van_Hal/",200,"OK","Dhr. J.P. van Hal","Gemeente Etten-Leur","CDA","Wethouder"
"https://almanak.overheid.nl/135054/Mw_JFM_Hollander/",200,"OK","Mw. J.F.M. Hollander","Gemeente Veenendaal","VVD","Wethouder"
"https://almanak.overheid.nl/135051/Dhr_mr_ing_E_Stroobosscher/",200,"OK","Dhr. mr. ing. E. Stroobosscher","Gemeente Veenendaal","ChristenUnie","Wethouder"
"https://almanak.overheid.nl/86937/Dhr_JCM_de_Beer/",200,"OK","Dhr. J.C.M. de Beer","Gemeente Zundert","Dorpsbelangen","Wethouder"
"https://almanak.overheid.nl/112187/Dhr_BJA_Roks/",200,"OK","Dhr. B.J.A. Roks","Gemeente Hilvarenbeek","VVD","Wethouder"
"https://almanak.overheid.nl/124847/Dhr_JMM_van_de_Wiel/",200,"OK","Dhr. J.M.M. van de Wiel","Gemeente Hilvarenbeek","CDA","Wethouder"
"https://almanak.overheid.nl/132529/Dhr_drs_JM_Aarts_MPM/",200,"OK","Dhr. drs. J.M. Aarts MPM","Gemeente Zundert","CDA","Wethouder"
"https://almanak.overheid.nl/112769/Dhr_AJ_Adriani/",200,"OK","Dhr. A.J. Adriani","Gemeente Nieuwegein","PvdA","Wethouder"
"https://almanak.overheid.nl/84930/Dhr_D_Straat/",200,"OK","Dhr. D. Straat","Gemeente Zaanstad","VVD","Wethouder"
"https://almanak.overheid.nl/32509/Dhr_MP_Groffen/",200,"OK","Dhr. M.P. Groffen","Gemeente Woensdrecht","VVD","Wethouder"
"https://almanak.overheid.nl/129403/Dhr_drs_TERA_Kampschreur/",200,"OK","Dhr. drs. T.E.R.A. Kampschreur","Gemeente Westervoort","CDA","Wethouder"
"https://almanak.overheid.nl/20265805/Dhr_D_Luyckx/",200,"OK","Dhr. D. Luyckx","Gemeente Enkhuizen","PvdA","Wethouder"
"https://almanak.overheid.nl/126643/Dhr_F_Kingma/",200,"OK","Dhr. F. Kingma","Gemeente Texel","Texel2010","Wethouder"
"https://almanak.overheid.nl/78731/Mw_H_Huisman-Peelen/",200,"OK","Mw. H. Huisman-Peelen","Gemeente Texel","VVD","Wethouder"
"https://almanak.overheid.nl/78729/Dhr_E_Hercules/",200,"OK","Dhr. E. Hercules","Gemeente Texel","PvdA","Wethouder"
"https://almanak.overheid.nl/134664/Mw_CT_Dekker/",200,"OK","Mw. C.T. Dekker","Gemeente Leek","GroenLinks","Wethouder"
"https://almanak.overheid.nl/32100/Dhr_B_Plandsoen/",200,"OK","Dhr. B. Plandsoen","Gemeente Leek","PvdA","Wethouder"
"https://almanak.overheid.nl/111610/Dhr_HJ_Morssink/",200,"OK","Dhr. H.J. Morssink","Gemeente Leek","CDA","Wethouder"
"https://almanak.overheid.nl/80350/Dhr_LA_Wijnmaalen/",200,"OK","Dhr. L.A. Wijnmaalen","Gemeente Vianen","SGP","Wethouder"
"https://almanak.overheid.nl/80351/Dhr_JAE_Landwehr/",200,"OK","Dhr. J.A.E. Landwehr","Gemeente Vianen","VVD","Wethouder"
"https://almanak.overheid.nl/80349/Dhr_MFM_Verweij/",200,"OK","Dhr. M.F.M. Verweij","Gemeente Vianen","CDA","Wethouder"
"https://almanak.overheid.nl/127281/Dhr_FNA_Meurs/",200,"OK","Dhr. F.N.A. Meurs","Gemeente Vianen","PvdA","Wethouder"
