system_id,title,initials,first_name,given_name,last_name,suffix,party,department,municipality,role
734326,,H.,Hendrik,Henk,Nijboer,,PvdA,,,
528876,,C.N.A.,Chantal Natalie Antoinette,Chantal,Nijkerken-de Haan,,VVD,,,
881926,mr.,M.,Michiel,Michiel,van Nispen,,SP,,,
102228,drs.,A.,Abraham,Bram,van Ojik,,GL,,,
427834,dr.,P.H.,Pieter Herman,Pieter,Omtzigt,,CDA,,,
967203,mr.,F.,Foort,Foort,van Oosten,,VVD,,,
177831,,E.,Esther,Esther,Ouwehand,,PvdD,,,
1040870,,Z.,Zihni,Zihni,Özdil,,GL,,,
767636,,S.,Selçuk,Selçuk,Öztürk,,GrKÖ,,,
320853,drs,N.,Nevin,Nevin,Özütok,,GL,,,
887262,BSc LLM,J.M.,Jan Maarten,Jan,Paternotte,,D66,,,
768448,drs.,A.,Alexander,Alexander,Pechtold,,D66,,,
15286,drs.,W.P.H.J.,Wilhelmus Petrus Henricus Johannes,René,Peters,,CDA,,,
788876,drs.,E.M.J.,Elisabeth Maria Josepha,Lilianne,Ploumen,,PvdA,,,
721300,mr. LLM,G.J.F.,Gabriëlle Johanna Francina,Gabriëlle,Popken,,PVV,,,
430980,dr.,A.A.G.M.,Antonius Adrianus Gerardus Maria,Ronald,van Raak,,SP,,,
292547,drs.,L.,Lammert,Lammert,van Raan,,PvdD,,,
229738,Mr.,R.,Rens,Rens,Raemakers,,D66,,,
1037418,,M.R.J.,Michel Richard Joachim,Michel,Rog,,CDA,,,
11750,,H.A.G.,Henricus Antonius Gerardus,Erik,Ronnes,,CDA,,,
580369,drs.,M.J.,Martinus Johannus,Martin,van Rooijen,,50PLUS,,,
630070,mr.,R.,Raymond,Raymond,de Roon,,PVV,,,
703214,mr.,A.C.L.,Arno Cor Lars,Arno,Rutte,,VVD,,,
3923,,L.,Léonie,Léonie,Sazias,,50PLUS,,,
733705,,G.J.M.,Gert-Jan Maarten,Gert-Jan,Segers,,CU,,,
375308,,M.F.,Matthijs Franciscus,Matthijs,Sienot,,D66,,,
872014,,S.W.,Sjoerd Wiemer,Sjoerd,Sjoerdsma,,D66,,,
194122,,E.J.,Evert Jan,Evert Jan,Slootweg,,CDA,,,
